iter	Passed	Remaining
616	42980	26679
617	43088	26634
618	43166	26569
619	43251	26509
620	43332	26446
621	43413	26383
622	43494	26319
623	43588	26265
624	43692	26215
625	43795	26165
626	43877	26102
627	43955	26037
628	44025	25967
629	44101	25900
630	44181	25836
631	44258	25770
632	44330	25701
633	44412	25638
634	44483	25569
635	44550	25497
636	44613	25423
637	44679	25350
638	44757	25285
639	44828	25216
640	44914	25154
641	45008	25097
642	45114	25047
643	45191	24981
644	45273	24918
645	45353	24853
646	45442	24793
647	45541	24738
648	45629	24678
649	45715	24616
650	45788	24547
651	45862	24478
652	45936	24410
653	46013	24343
654	46092	24277
655	46181	24217
656	46263	24153
657	46353	24092
658	46502	24062
659	46592	24002
660	46674	23937
661	46755	23872
662	46855	23816
663	46964	23765
664	47057	23705
665	47157	23649
666	47253	23591
667	47342	23529
668	47430	23467
669	47507	23399
670	47589	23333
671	47674	23269
672	47759	23205
673	47848	23143
674	47936	23080
675	48028	23019
676	48106	22951
677	48182	22883
678	48289	22828
679	48399	22776
680	48515	22725
681	48634	22676
682	48754	22628
683	48858	22572
684	48980	22523
685	49078	22464
686	49182	22407
687	49269	22342
688	49348	22274
689	49435	22210
690	49508	22138
691	49577	22066
692	49654	21996
693	49721	21923
694	49791	21850
695	49857	21776
696	49935	21707
697	50019	21641
698	50092	21570
699	50166	21500
700	50233	21426
701	50307	21355
702	50374	21282
703	50443	21209
704	50508	21134
705	50589	21066
706	50657	20993
707	50735	20924
708	50803	20851
709	50869	20777
710	50942	20706
711	51011	20633
712	51083	20562
713	51192	20505
714	51300	20448
715	51391	20384
716	51466	20314
717	51552	20247
718	51623	20175
719	51697	20104
720	51767	20031
721	51860	19968
722	51947	19902
723	52032	19835
724	52121	19770
725	52211	19705
726	52286	19634
727	52362	19564
728	52446	19496
729	52553	19437
730	52649	19374
731	52722	19302
732	52792	19230
733	52859	19156
734	52937	19086
735	53011	19014
736	53089	18945
737	53187	18882
738	53275	18815
739	53355	18746
740	53431	18675
741	53513	18607
742	53599	18539
743	53683	18471
744	53762	18401
745	53854	18336
746	53932	18266
747	54021	18199
748	54104	18131
749	54181	18060
750	54258	17989
751	54342	17921
752	54421	17851
753	54546	17796
754	54628	17727
755	54712	17658
756	54799	17590
757	54937	17539
758	55062	17483
759	55147	17415
760	55245	17350
761	55351	17288
762	55422	17215
763	55498	17143
764	55573	17071
765	55652	17001
766	55728	16929
767	55800	16856
768	55998	16821
769	56126	16765
770	56206	16694
771	56285	16623
772	56355	16549
773	56435	16478
774	56515	16407
775	56587	16334
776	56729	16281
777	56833	16217
778	56911	16145
779	56987	16073
780	57063	16001
781	57146	15931
782	57242	15864
783	57347	15799
784	57446	15733
785	57558	15671
786	57638	15599
787	57726	15530
788	57814	15461
789	57895	15389
790	57979	15319
791	58056	15247
792	58138	15176
793	58232	15108
794	58311	15036
795	58382	14962
796	58460	14890
797	58572	14826
798	58679	14761
799	58771	14692
800	58855	14622
801	58964	14557
802	59044	14485
803	59133	14415
804	59220	14345
805	59300	14273
806	59373	14199
807	59449	14126
808	59524	14053
809	59618	13984
810	59697	13912
811	59777	13840
812	59858	13768
813	59938	13696
814	60013	13622
815	60095	13551
816	60174	13478
817	60256	13406
818	60338	13334
819	60432	13265
820	60507	13192
821	60594	13121
822	60675	13049
823	60749	12975
824	60825	12902
825	60922	12833
826	61009	12762
827	61084	12689
828	61158	12615
829	61232	12541
830	61316	12469
831	61391	12396
832	61468	12323
833	61562	12253
834	61636	12179
835	61711	12106
836	61788	12032
837	61922	11970
838	62017	11900
839	62114	11831
840	62195	11758
841	62292	11689
842	62369	11615
843	62458	11544
844	62561	11475
845	62645	11403
846	62747	11334
847	62834	11262
848	62934	11193
849	63029	11122
850	63101	11048
851	63179	10974
852	63252	10900
853	63335	10827
854	63432	10757
855	63516	10685
856	63594	10611
857	63688	10540
858	63766	10466
859	63846	10393
860	63926	10320
861	64010	10247
862	64095	10175
863	64169	10100
864	64251	10027
865	64360	9958
866	64440	9885
867	64526	9812
868	64612	9740
869	64702	9668
870	64778	9594
871	64857	9520
872	64937	9446
873	65049	9377
874	65127	9303
875	65201	9229
876	65285	9156
877	65378	9084
878	65464	9011
879	65546	8938
880	65637	8865
881	65761	8797
882	65849	8725
883	65937	8652
884	66026	8579
885	66109	8506
886	66190	8432
887	66270	8358
888	66348	8284
889	66443	8212
890	66530	8138
891	66608	8064
892	66685	7990
893	66762	7915
894	66839	7841
895	66919	7767
896	66997	7693
897	67084	7619
898	67169	7546
899	67244	7471
900	67318	7396
901	67391	7321
902	67462	7246
903	67546	7173
904	67634	7099
905	67761	7030
906	67846	6956
907	67928	6882
908	68040	6811
909	68138	6738
910	68247	6667
911	68359	6596
912	68459	6523
913	68614	6456
914	68723	6384
915	68845	6313
916	68941	6240
917	69024	6165
918	69121	6092
919	69219	6019
920	69314	5945
921	69432	5873
922	69548	5801
923	69664	5729
924	69760	5656
925	69849	5581
926	69941	5507
927	70035	5433
928	70117	5358
929	70206	5284
930	70375	5215
931	70514	5144
932	70627	5071
933	70731	4998
934	70832	4924
935	70913	4848
936	71007	4774
937	71126	4701
938	71209	4625
939	71301	4551
940	71481	4481
941	71582	4407
942	71704	4334
943	71809	4259
944	71907	4185
945	72007	4110
946	72084	4034
947	72164	3958
948	72236	3882
949	72361	3808
950	72452	3733
951	72548	3657
952	72621	3581
953	72718	3506
954	72799	3430
955	72876	3354
956	72955	3278
957	73035	3201
958	73116	3125
959	73200	3050
960	73283	2974
961	73385	2898
962	73463	2822
963	73538	2746
964	73619	2670
965	73701	2594
966	73789	2518
967	73870	2442
968	73945	2365
969	74035	2289
970	74115	2213
971	74196	2137
972	74276	2061
973	74356	1984
974	74434	1908
975	74511	1832
976	74595	1756
977	74685	1680
978	74776	1603
979	74850	1527
980	74930	1451
981	75075	1376
982	75177	1300
983	75259	1223
984	75345	1147
985	75445	1071
986	75535	994
987	75614	918
988	75690	841
989	75761	765
990	75853	688
991	75945	612
992	76031	535
993	76137	459
994	76222	383
995	76313	306
996	76390	229
997	76497	153
998	76581	76
999	76671	0
